ID_Cliente,Nome,Idade,Data_Cadastro,Localizacao,Genero
1,Daniela Silva,53,2024-04-13,Faro,Masculino
2,Daniela Lima,29,2023-04-25,Setúbal,Masculino
3,Ana Santos,45,2024-04-25,Madeira,Masculino
4,Sara Pereira,87,2023-10-17,Faro,Feminino
5,Thiago Costa,18,2024-07-09,Setúbal,Feminino
6,Igor Oliveira,45,2024-01-10,Porto,Masculino
7,Mariana Santos,63,2024-01-02,Açores,Feminino
8,Bruno Nascimento,86,2024-08-14,Setúbal,Masculino
9,Sara Costa,64,2023-05-08,Faro,Masculino
10,Bruno Pereira,55,2024-09-29,Faro,Masculino
11,Mariana Costa,76,2023-03-10,Évora,Masculino
12,Leonardo Rodrigues,44,2023-02-02,Braga,Masculino
13,Vanessa Oliveira,86,2024-04-13,Coimbra,Feminino
14,Mariana Costa,89,2024-05-09,Évora,Masculino
15,Helena Silva,58,2023-11-05,Braga,Masculino
16,Gabriel Ferreira,58,2024-05-16,Leiria,Feminino
17,Otávio Oliveira,51,2024-07-30,Faro,Feminino
18,Thiago Almeida,69,2023-12-15,Faro,Masculino
19,Rafael Nascimento,29,2024-11-01,Porto,Masculino
20,Fernanda Almeida,26,2023-11-21,Setúbal,Feminino
21,Rafael Costa,88,2024-12-08,Porto,Feminino
22,Katia Santos,55,2023-10-01,Coimbra,Feminino
23,Ana Costa,82,2024-06-20,Madeira,Masculino
24,Juliana Lima,43,2024-07-16,Évora,Masculino
25,Sara Lima,18,2023-04-16,Évora,Feminino
26,Ana Santos,64,2024-02-09,Faro,Masculino
27,Helena Ferreira,28,2024-09-23,Leiria,Masculino
28,Sara Oliveira,34,2023-02-13,Leiria,Masculino
29,Igor Lima,72,2024-05-17,Madeira,Masculino
30,Juliana Almeida,65,2023-09-28,Madeira,Feminino
31,Daniela Pereira,46,2024-10-15,Évora,Masculino
32,Thiago Lima,47,2023-04-27,Faro,Masculino
33,Carlos Silva,47,2024-10-11,Lisboa,Feminino
34,Carlos Lima,48,2024-03-09,Leiria,Masculino
35,Sara Oliveira,78,2024-04-15,Leiria,Feminino
36,Gabriel Santos,30,2023-02-14,Setúbal,Feminino
37,Natália Almeida,77,2024-10-25,Porto,Masculino
38,Mariana Rodrigues,31,2024-04-09,Faro,Masculino
39,Sara Nascimento,35,2023-10-14,Coimbra,Feminino
40,Otávio Pereira,27,2023-09-23,Madeira,Masculino
41,Bruno Lima,19,2024-09-15,Faro,Masculino
42,Natália Nascimento,79,2024-05-15,Setúbal,Masculino
43,Fernanda Almeida,18,2023-11-16,Braga,Feminino
44,Juliana Almeida,89,2023-02-11,Leiria,Masculino
45,Gabriel Costa,45,2024-10-21,Açores,Masculino
46,Katia Silva,24,2023-05-01,Leiria,Masculino
47,Bruno Lima,28,2024-06-12,Porto,Masculino
48,Helena Almeida,33,2023-05-16,Faro,Masculino
49,Vanessa Santos,71,2023-02-15,Açores,Feminino
50,Igor Pereira,58,2024-04-19,Braga,Feminino
51,Eduardo Costa,76,2024-01-31,Porto,Masculino
52,Otávio Ferreira,90,2024-09-08,Porto,Masculino
53,Rafael Costa,34,2023-12-28,Porto,Masculino
54,Leonardo Costa,38,2023-09-28,Madeira,Feminino
55,Vanessa Lima,19,2023-02-05,Madeira,Feminino
56,Daniela Oliveira,51,2024-08-23,Porto,Masculino
57,Igor Costa,44,2024-01-03,Faro,Feminino
58,Rafael Nascimento,50,2024-10-28,Porto,Feminino
59,Igor Silva,18,2024-01-13,Coimbra,Feminino
60,Fernanda Nascimento,88,2022-12-28,Setúbal,Masculino
61,Daniela Santos,37,2023-06-10,Lisboa,Feminino
62,Thiago Lima,36,2023-10-06,Coimbra,Masculino
63,Juliana Rodrigues,23,2023-12-19,Faro,Masculino
64,Daniela Rodrigues,89,2023-10-30,Açores,Masculino
65,Helena Oliveira,40,2023-10-24,Lisboa,Masculino
66,Katia Almeida,49,2024-03-21,Coimbra,Masculino
67,Mariana Silva,78,2024-05-06,Faro,Feminino
68,Leonardo Costa,47,2024-05-05,Lisboa,Masculino
69,Mariana Rodrigues,53,2024-10-09,Braga,Feminino
70,Rafael Almeida,86,2024-01-15,Lisboa,Masculino
71,Igor Oliveira,51,2024-11-10,Porto,Feminino
72,Leonardo Rodrigues,73,2023-04-09,Madeira,Masculino
73,Mariana Ferreira,42,2024-04-03,Lisboa,Feminino
74,Ana Lima,86,2023-01-16,Faro,Feminino
75,Natália Santos,60,2023-03-22,Évora,Masculino
76,Juliana Lima,57,2023-02-06,Setúbal,Feminino
77,Mariana Costa,88,2024-08-11,Faro,Feminino
78,Mariana Oliveira,90,2024-02-15,Setúbal,Masculino
79,Juliana Costa,44,2023-10-06,Açores,Feminino
80,Otávio Nascimento,74,2023-01-28,Faro,Feminino
81,Fernanda Santos,54,2023-07-11,Açores,Feminino
82,Carlos Pereira,57,2024-05-03,Faro,Masculino
83,Ana Silva,49,2023-08-21,Açores,Masculino
84,Otávio Almeida,42,2023-01-06,Setúbal,Feminino
85,Mariana Pereira,36,2023-02-17,Lisboa,Masculino
86,Natália Pereira,40,2023-01-07,Madeira,Feminino
87,Bruno Lima,49,2024-08-17,Leiria,Masculino
88,Otávio Lima,89,2023-04-20,Évora,Feminino
89,Vanessa Lima,72,2023-06-07,Leiria,Masculino
90,Patrícia Nascimento,51,2024-04-10,Braga,Feminino
91,Helena Costa,74,2024-10-01,Braga,Masculino
92,Igor Rodrigues,58,2023-06-15,Porto,Masculino
93,Eduardo Pereira,67,2023-01-09,Coimbra,Masculino
94,Carlos Almeida,70,2024-01-16,Madeira,Feminino
95,Natália Silva,44,2023-10-16,Setúbal,Masculino
96,Thiago Almeida,79,2024-12-13,Évora,Feminino
97,Mariana Almeida,86,2023-06-09,Açores,Masculino
98,Patrícia Pereira,52,2023-09-30,Leiria,Masculino
99,Mariana Rodrigues,69,2024-07-03,Leiria,Masculino
100,Vanessa Lima,21,2023-11-12,Açores,Masculino
101,Carlos Almeida,35,2023-09-04,Coimbra,Masculino
102,Igor Almeida,59,2024-05-17,Leiria,Feminino
103,Katia Almeida,53,2023-10-15,Braga,Masculino
104,Patrícia Silva,87,2024-10-27,Évora,Masculino
105,Carlos Silva,21,2024-04-10,Faro,Masculino
106,Vanessa Oliveira,48,2024-08-12,Leiria,Masculino
